serial_number,name,description,color,weight,width,height,depth,price
SN00002,Стол,Обеденный стол,undefined,20000,120,75,80,7000
SN00003,Тумба,Прикроватная тумба,black,8000,50,60,40,3500
SN00004,Кресло,Удобное кресло,red,7000,70,100,70,4500
SN00005,Шкаф,Шкаф для одежды,green,25000,100,200,60,12000
SN00006,Полка,Настенная полка,blue,3000,80,20,15,1200
SN00007,Стол письменный,Письменный стол,yellow,18000,110,75,60,8000
SN00008,Табурет,Простой табурет,black,2500,35,45,35,900
SN00009,Книжный шкаф,Шкаф для книг,black,22000,90,180,40,11000
SN00010,Диван,Удобный диван,red,35000,200,90,100,25000
SN00011,Новый диван,Удобный новый диван,red,35000,200,90,100,25000
